128 Forest; replaced with Forest
4646 Temple of Epiphany; replaced with Temple of Epiphany
5609 Giant Octopus; replaced with Giant Octopus
3245 Watery Grave; replaced with Watery Grave
6767 Geothermal Bog; replaced with Geothermal Bog
2207 Rhystic Study; replaced with Rhystic Study
5979 Snow-Covered Mountain; replaced with Snow-Covered Mountain
6358 Dragon Whelp; replaced with Dragon Whelp
3981 Temple of Silence; replaced with Temple of Silence
9356 The Mimeoplasm; replaced with The Mimeoplasm
103 Ancient Ziggurat; replaced with Ancient Ziggurat
4739 Felidar Retreat; replaced with Felidar Retreat
6354 Exhaustion; replaced with Exhaustion
3883 Austere Command; replaced with Austere Command
4489 Scrap Trawler; replaced with Scrap Trawler
1908 Goblin Chieftain; replaced with Goblin Chieftain
9229 Blood Moon; replaced with Blood Moon
6585 Nether Spirit; replaced with Nether Spirit
7578 Black Cat, Cunning Thief; replaced with Black Cat, Cunning Thief
1808 The War Doctor; replaced with The War Doctor
6195 Mantle of the Ancients; replaced with Mantle of the Ancients
8098 Chandra, Flame's Fury; replaced with Chandra, Flame's Fury
586 Skeletal Swarming; replaced with Skeletal Swarming
3947 Aurelia, the Warleader; replaced with Aurelia, the Warleader
2619 Fabled Passage; replaced with Fabled Passage
6934 Lance; replaced with Lance
3924 Karplusan Forest; replaced with Karplusan Forest
2554 Dungrove Elder; replaced with Dungrove Elder
5282 Alesha, Who Smiles at Death; replaced with Alesha, Who Smiles at Death
7941 Evil Presence; replaced with Evil Presence
603 Access Tunnel; replaced with Access Tunnel
2451 Stoneforge Mystic; replaced with Stoneforge Mystic
4117 Niambi, Esteemed Speaker; replaced with Niambi, Esteemed Speaker
9430 Endurance; replaced with Endurance
3594 Lord of the Void; replaced with Lord of the Void
4168 Spell Blast; replaced with Spell Blast
9904 Radiant Flames; replaced with Radiant Flames
3001 Rod of Ruin; replaced with Rod of Ruin
422 Clay Statue; replaced with Clay Statue
7159 Dryad of the Ilysian Grove; replaced with Dryad of the Ilysian Grove
3932 Erhnam Djinn; replaced with Erhnam Djinn
1816 Minwu, White Mage; replaced with Minwu, White Mage
8310 Watcher of the Roost; replaced with Watcher of the Roost
5641 Reckless Stormseeker // Storm-Charged Slasher; replaced with Reckless Stormseeker // Storm-Charged Slasher
7061 Fertile Ground; replaced with Fertile Ground
4311 Pristine Talisman; replaced with Pristine Talisman
5138 Wasteland; replaced with Wasteland
6581 Furycalm Snarl; replaced with Furycalm Snarl
7311 Royal Decree; replaced with Royal Decree
3316 Kalemne's Captain; replaced with Kalemne's Captain
10256 Springbloom Druid; replaced with Springbloom Druid
4772 Ripples of Potential; replaced with Ripples of Potential
5115 Wayfarer's Bauble; replaced with Wayfarer's Bauble
6426 Morlun, Devourer of Spiders; replaced with Morlun, Devourer of Spiders
3175 Negate; replaced with Negate
283 Jetmir, Nexus of Revels; replaced with Jetmir, Nexus of Revels
5088 Game Trail; replaced with Game Trail
8697 Desert of the Fervent; replaced with Desert of the Fervent
3899 Valki, God of Lies // Tibalt, Cosmic Impostor; replaced with Valki, God of Lies // Tibalt, Cosmic Impostor
8067 Dina, Soul Steeper; replaced with Dina, Soul Steeper
6293 Parasitic Impetus; replaced with Parasitic Impetus
6660 Sleight of Hand; replaced with Sleight of Hand
8460 Yawgmoth Demon; replaced with Yawgmoth Demon
8744 Cinder Glade; replaced with Cinder Glade
7626 Ruinous Ultimatum; replaced with Ruinous Ultimatum
10481 The Ninth Doctor; replaced with The Ninth Doctor
6773 Valakut, the Molten Pinnacle; replaced with Valakut, the Molten Pinnacle
4856 Misty Rainforest; replaced with Misty Rainforest
5254 Storm King's Thunder; replaced with Storm King's Thunder
8911 Basic Conjuration; replaced with Basic Conjuration
6818 Soulblade Djinn; replaced with Soulblade Djinn
8360 Darkwater Catacombs; replaced with Darkwater Catacombs
2666 Thirst for Meaning; replaced with Thirst for Meaning
1796 Silverbluff Bridge; replaced with Silverbluff Bridge
1347 Protean Hulk; replaced with Protean Hulk
8466 Chromatic Star; replaced with Chromatic Star
1876 Eye of Ugin; replaced with Eye of Ugin
5540 Black Mana Battery; replaced with Black Mana Battery
7047 Scepter of Celebration; replaced with Scepter of Celebration
66 Niv-Mizzet, the Firemind; replaced with Niv-Mizzet, the Firemind
7640 Kefka, Court Mage // Kefka, Ruler of Ruin; replaced with Kefka, Court Mage // Kefka, Ruler of Ruin
7793 Time Stretch; replaced with Time Stretch
2074 Rampaging Baloths; replaced with Rampaging Baloths
7901 Terra, Magical Adept // Esper Terra; replaced with Terra, Magical Adept // Esper Terra
1754 Arlinn Kord // Arlinn, Embraced by the Moon; replaced with Arlinn Kord // Arlinn, Embraced by the Moon
2857 Steam Vents; replaced with Steam Vents
6032 Norman Osborn // Green Goblin; replaced with Norman Osborn // Green Goblin
7781 Skyhunter Patrol; replaced with Skyhunter Patrol
9203 Smothering Tithe; replaced with Smothering Tithe
10542 Sleight of Hand; replaced with Sleight of Hand
4161 Invigorate; replaced with Invigorate
811 Arcade Gannon; replaced with Arcade Gannon
493 Archangel Avacyn // Avacyn, the Purifier; replaced with Archangel Avacyn // Avacyn, the Purifier
2415 Don & Raph, Hard Science; replaced with Don & Raph, Hard Science
4022 Shapers' Sanctuary; replaced with Shapers' Sanctuary
1390 Tormented Soul; replaced with Tormented Soul
59 Heroic Intervention; replaced with Heroic Intervention
3427 Sacred Mesa; replaced with Sacred Mesa
4579 Doubling Season; replaced with Doubling Season
7095 Grove of the Guardian; replaced with Grove of the Guardian
5961 Cragcrown Pathway // Timbercrown Pathway; replaced with Cragcrown Pathway // Timbercrown Pathway
8123 Genesis Ultimatum; replaced with Genesis Ultimatum
3552 Tainted Field; replaced with Tainted Field
5753 Savai Triome; replaced with Savai Triome
8912 Kykar, Zephyr Awakener; replaced with Kykar, Zephyr Awakener
4796 Cloud, Ex-SOLDIER; replaced with Cloud, Ex-SOLDIER
9397 Animate Dead; replaced with Animate Dead
7808 Carnage, Crimson Chaos; replaced with Carnage, Crimson Chaos
81 Jazal Goldmane; replaced with Jazal Goldmane
5603 Orzhov Basilica; replaced with Orzhov Basilica
2543 Oviya Pashiri, Sage Lifecrafter; replaced with Oviya Pashiri, Sage Lifecrafter
8083 Balthier and Fran; replaced with Balthier and Fran
5889 Junktown; replaced with Junktown
4629 Zareth San, the Trickster; replaced with Zareth San, the Trickster
87 Selfless Spirit; replaced with Selfless Spirit
2358 Tivit, Seller of Secrets; replaced with Tivit, Seller of Secrets
11005 City on Fire; replaced with City on Fire
29 Springheart Nantuko; replaced with Springheart Nantuko
7295 Ancient Tomb; replaced with Ancient Tomb
5615 Essence Drain; replaced with Essence Drain
201 Faerie Mastermind; replaced with Faerie Mastermind
5689 Restless Spire; replaced with Restless Spire
8089 Whiplash Trap; replaced with Whiplash Trap
579 Virtue of Knowledge // Vantress Visions; replaced with Virtue of Knowledge // Vantress Visions
7623 Nahiri, Storm of Stone; replaced with Nahiri, Storm of Stone
7304 Loyal Retainers; replaced with Loyal Retainers
8018 Blade Splicer; replaced with Blade Splicer
606 Wall of Roots; replaced with Wall of Roots
678 Icy Manipulator; replaced with Icy Manipulator
2469 Anger; replaced with Anger
7192 Bonecaller Cleric; replaced with Bonecaller Cleric
5650 Dissipate; replaced with Dissipate
11255 Avenger of Zendikar; replaced with Avenger of Zendikar
2864 Celestial Colonnade; replaced with Celestial Colonnade
4086 Rewind; replaced with Rewind
8349 Manaform Hellkite; replaced with Manaform Hellkite
9691 Revivify; replaced with Revivify
945 Opt; replaced with Opt
1404 Blood Scrivener; replaced with Blood Scrivener
10180 Raven Familiar; replaced with Raven Familiar
3726 Regrowth; replaced with Regrowth
2737 Phantom Warrior; replaced with Phantom Warrior
7294 Wretched Confluence; replaced with Wretched Confluence
708 Spontaneous Mutation; replaced with Spontaneous Mutation
8372 Zephyr Singer; replaced with Zephyr Singer
5156 Floodfarm Verge; replaced with Floodfarm Verge
5817 Disorienting Choice; replaced with Disorienting Choice
8979 Warstorm Surge; replaced with Warstorm Surge
9153 Davros, Dalek Creator; replaced with Davros, Dalek Creator
1330 Ajani, Sleeper Agent; replaced with Ajani, Sleeper Agent
10888 Kuja, Genome Sorcerer // Trance Kuja, Fate Defied; replaced with Kuja, Genome Sorcerer // Trance Kuja, Fate Defied
713 Raffine's Tower; replaced with Raffine's Tower
7678 Akroma, Angel of Wrath; replaced with Akroma, Angel of Wrath
1151 Bloodshot Cyclops; replaced with Bloodshot Cyclops
2350 Instrument of the Bards; replaced with Instrument of the Bards
6462 Camellia, the Seedmiser; replaced with Camellia, the Seedmiser
2460 Seal of Fire; replaced with Seal of Fire
3527 Gaea's Liege; replaced with Gaea's Liege
6140 Sapling of Colfenor; replaced with Sapling of Colfenor
7361 Wild Growth; replaced with Wild Growth
1236 Froghemoth; replaced with Froghemoth
5714 Vivien Reid; replaced with Vivien Reid
3319 Graven Cairns; replaced with Graven Cairns
1326 Alley Strangler; replaced with Alley Strangler
6248 Nyx-Fleece Ram; replaced with Nyx-Fleece Ram
5766 Animate Wall; replaced with Animate Wall
7562 Bruvac the Grandiloquent; replaced with Bruvac the Grandiloquent
1299 Stitch Together; replaced with Stitch Together
5902 Ingenious Prodigy; replaced with Ingenious Prodigy
4367 Angel of Mercy; replaced with Angel of Mercy
2124 Teferi's Puzzle Box; replaced with Teferi's Puzzle Box
4066 Shigeki, Jukai Visionary; replaced with Shigeki, Jukai Visionary
7920 Reverse Damage; replaced with Reverse Damage
3692 Witch Hunt; replaced with Witch Hunt
3318 Dismember; replaced with Dismember
9479 Animate Artifact; replaced with Animate Artifact
11358 Sneaky Homunculus; replaced with Sneaky Homunculus
6607 Rishadan Port; replaced with Rishadan Port
7934 Past in Flames; replaced with Past in Flames
8995 Whirlwind of Thought; replaced with Whirlwind of Thought
3289 Kykar, Wind's Fury; replaced with Kykar, Wind's Fury
5573 Steel Seraph; replaced with Steel Seraph
8542 K-9, Mark I; replaced with K-9, Mark I
6116 Rootbound Crag; replaced with Rootbound Crag
4300 Pulse of Murasa; replaced with Pulse of Murasa
7180 Archfiend of Ifnir; replaced with Archfiend of Ifnir
6239 Master of Cruelties; replaced with Master of Cruelties
8298 Nine Lives; replaced with Nine Lives
3532 Seaside Citadel; replaced with Seaside Citadel
5739 Mogg Fanatic; replaced with Mogg Fanatic
9346 Elite Cat Warrior; replaced with Elite Cat Warrior
5893 Chandra, Fire of Kaladesh // Chandra, Roaring Flame; replaced with Chandra, Fire of Kaladesh // Chandra, Roaring Flame
8765 Tormenting Voice; replaced with Tormenting Voice
11833 Hallowed Fountain; replaced with Hallowed Fountain
10811 Agent Bishop, Man in Black; replaced with Agent Bishop, Man in Black
3109 Lutri, the Spellchaser; replaced with Lutri, the Spellchaser
3016 Talisman of Conviction; replaced with Talisman of Conviction
9851 Flight; replaced with Flight
3879 Jegantha, the Wellspring; replaced with Jegantha, the Wellspring
5417 Pillar of Flame; replaced with Pillar of Flame
4552 Cleric Class; replaced with Cleric Class
1792 Drowner of Hope; replaced with Drowner of Hope
4298 Unburden; replaced with Unburden
7126 Soul Warden; replaced with Soul Warden
4800 Magus of the Wheel; replaced with Magus of the Wheel
10807 Stasis Snare; replaced with Stasis Snare
6240 Toothy, Imaginary Friend; replaced with Toothy, Imaginary Friend
1022 Unsummon; replaced with Unsummon
6513 Yavimaya Coast; replaced with Yavimaya Coast
10086 Shatterstorm; replaced with Shatterstorm
7352 Restless Bloodseeker // Bloodsoaked Reveler; replaced with Restless Bloodseeker // Bloodsoaked Reveler
3783 Burning-Tree Emissary; replaced with Burning-Tree Emissary
6668 Deep Wood; replaced with Deep Wood
2643 Royal Assassin; replaced with Royal Assassin
7362 Repentant Blacksmith; replaced with Repentant Blacksmith
6328 Shadow-Rite Priest; replaced with Shadow-Rite Priest
4251 Reclamation Sage; replaced with Reclamation Sage
1101 Wreck Hunter; replaced with Wreck Hunter
4518 Riverglide Pathway // Lavaglide Pathway; replaced with Riverglide Pathway // Lavaglide Pathway
629 Platinum Emperion; replaced with Platinum Emperion
6300 Castle Ardenvale; replaced with Castle Ardenvale
6325 Memory Lapse; replaced with Memory Lapse
9108 Angel of Deliverance; replaced with Angel of Deliverance
6947 Bloodline Keeper // Lord of Lineage; replaced with Bloodline Keeper // Lord of Lineage
826 Foulmire Knight // Profane Insight; replaced with Foulmire Knight // Profane Insight
5431 Worldspine Wurm; replaced with Worldspine Wurm
11713 Neheb, the Eternal; replaced with Neheb, the Eternal
1157 Star of Extinction; replaced with Star of Extinction
4249 Fynn, the Fangbearer; replaced with Fynn, the Fangbearer
7655 Volcanic Hammer; replaced with Volcanic Hammer
136 Reflecting Pool; replaced with Reflecting Pool
2752 Slice and Dice; replaced with Slice and Dice
6320 Vindicate; replaced with Vindicate
11377 Regrowth; replaced with Regrowth
2305 Estrid's Invocation // Estrid's Invocation; replaced with Estrid's Invocation // Estrid's Invocation
9497 Tanazir Quandrix; replaced with Tanazir Quandrix
6738 Sacred Ground; replaced with Sacred Ground
3831 Tyrant of Valakut; replaced with Tyrant of Valakut
11016 Orzhov Basilica; replaced with Orzhov Basilica
10160 Ezuri, Claw of Progress; replaced with Ezuri, Claw of Progress
12347 Nadir Kraken; replaced with Nadir Kraken
5303 Wasitora, Nekoru Queen; replaced with Wasitora, Nekoru Queen
9239 Adeline, Resplendent Cathar; replaced with Adeline, Resplendent Cathar
8060 Moldervine Reclamation; replaced with Moldervine Reclamation
5166 Etali, Primal Storm; replaced with Etali, Primal Storm
2425 Orcish Oriflamme; replaced with Orcish Oriflamme
10233 Thopter Foundry; replaced with Thopter Foundry
1245 Deification; replaced with Deification
755 Giott, King of the Dwarves; replaced with Giott, King of the Dwarves
3048 Orochi Soul-Reaver; replaced with Orochi Soul-Reaver
5618 Aven Cloudchaser; replaced with Aven Cloudchaser
4746 Artful Maneuver; replaced with Artful Maneuver
6382 Arlinn, Voice of the Pack; replaced with Arlinn, Voice of the Pack
7711 Elvish Archdruid; replaced with Elvish Archdruid
11727 Ulamog, the Ceaseless Hunger; replaced with Ulamog, the Ceaseless Hunger
8464 Ajani Steadfast; replaced with Ajani Steadfast
2660 Celestial Ancient; replaced with Celestial Ancient
12146 Sulfur Falls; replaced with Sulfur Falls
3007 Faramir, Prince of Ithilien; replaced with Faramir, Prince of Ithilien
7650 Natural Spring; replaced with Natural Spring
1407 Subira, Tulzidi Caravanner; replaced with Subira, Tulzidi Caravanner
697 Bolt Bend; replaced with Bolt Bend
7728 Far Wanderings; replaced with Far Wanderings
10897 Corrupted Grafstone; replaced with Corrupted Grafstone
11250 Pestilence; replaced with Pestilence
6401 Roar of the Wurm; replaced with Roar of the Wurm
1623 Brainstorm; replaced with Brainstorm
7464 Loyal Apprentice; replaced with Loyal Apprentice
2395 Temporary Lockdown; replaced with Temporary Lockdown
9155 Wishclaw Talisman; replaced with Wishclaw Talisman
7365 Ruin Grinder; replaced with Ruin Grinder
2300 Uro, Titan of Nature's Wrath; replaced with Uro, Titan of Nature's Wrath
9713 Explosive Vegetation; replaced with Explosive Vegetation
12441 Thopter Foundry; replaced with Thopter Foundry
